"no","name","category","designation","prefecture","region","latitude","longitude","source_type","source_url","source_record_id","coordinate_source","selection_role","selection_rule"
"1","伊勢神宮 内宮","近畿五芒星・固定アンカー","記事の検証対象","三重県","東海","34.455000","136.725200","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-001","記事で先に固定した座標","target-anchor","fixed before official background sampling"
"2","熊野本宮大社","近畿五芒星・固定アンカー","記事の検証対象","和歌山県","近畿","33.840600","135.773400","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-002","記事で先に固定した座標","target-anchor","fixed before official background sampling"
"3","伊弉諾神宮","近畿五芒星・固定アンカー","記事の検証対象","兵庫県","近畿","34.460100","134.852500","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-003","記事で先に固定した座標","target-anchor","fixed before official background sampling"
"4","元伊勢皇大神社","近畿五芒星・固定アンカー","記事の検証対象","京都府","近畿","35.430400","135.154300","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-004","記事で先に固定した座標","target-anchor","fixed before official background sampling"
"5","伊吹山","近畿五芒星・固定アンカー","記事の検証対象","滋賀県","近畿","35.417800","136.406400","記事の固定アンカー","provided:近畿五芒星の5地点","anchor-005","記事で先に固定した座標","target-anchor","fixed before official background sampling"
"6","聖衆来迎寺","寺院建築","重要文化財","滋賀県","近畿","35.072080","135.886253","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-00004765","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"7","八坂神社本殿（儀俄大宮）","神社建築","重要文化財","滋賀県","近畿","34.951284","136.196929","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1463","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"8","薬王寺観音堂","寺院建築","重要文化財","和歌山県","近畿","34.076573","135.267973","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2908","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"9","談山神社権殿","神社建築","重要文化財","奈良県","近畿","34.465930","135.860871","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2626","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"10","八幡神社三重塔","寺院建築","重要文化財","兵庫県","近畿","34.767640","135.130703","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2237","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"11","中島神社本殿","神社建築","重要文化財","兵庫県","近畿","35.525423","134.862627","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2363","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"12","聚光院本堂","寺院建築","重要文化財","京都府","近畿","35.044007","135.745180","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1611","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"13","長野神社本殿","神社建築","重要文化財","大阪府","近畿","34.450122","135.571416","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2196","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"14","東大寺二月堂参籠所","寺院建築","重要文化財","奈良県","近畿","34.689444","135.843801","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2456","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"15","法音寺本堂","寺院建築","重要文化財","和歌山県","近畿","34.051204","135.326160","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2907","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"16","生和神社本殿","神社建築","重要文化財","滋賀県","近畿","35.079129","136.033783","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1446","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"17","加太春日神社本殿","神社建築","重要文化財","和歌山県","近畿","34.275271","135.074616","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2822","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"18","愛宕念仏寺本堂","寺院建築","重要文化財","京都府","近畿","35.031353","135.661091","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1849","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"19","三宝院殿堂","寺院建築","重要文化財","京都府","近畿","34.952151","135.818963","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1907","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"20","勝部神社本殿","神社建築","重要文化財","滋賀県","近畿","35.050815","135.990672","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1425","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"21","金剛輪寺三重塔","寺院建築","重要文化財","滋賀県","近畿","35.161797","136.283037","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1507","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"22","丹生都比売神社本殿","神社建築","重要文化財","和歌山県","近畿","34.262674","135.521872","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2870","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"23","霊山寺鐘楼","寺院建築","重要文化財","奈良県","近畿","34.673352","135.742629","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2488","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"24","人麿神社本殿","神社建築","重要文化財","奈良県","近畿","34.514731","135.784729","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2620","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"25","旧富貴寺羅漢堂","寺院建築","重要文化財","奈良県","近畿","34.613896","135.737916","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2734","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"26","広八幡神社摂社若宮社本殿","神社建築","重要文化財","和歌山県","近畿","34.017642","135.175258","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2900","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"27","寶積寺三重塔","寺院建築","重要文化財","京都府","近畿","34.895168","135.679192","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2022","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"28","天神社本殿","神社建築","重要文化財","奈良県","近畿","34.680369","135.991025","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2678","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"29","唐招提寺鼓楼","寺院建築","国宝","奈良県","近畿","34.675716","135.785107","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2479","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"30","天満神社","神社建築","重要文化財","和歌山県","近畿","34.191696","135.164624","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2820","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"31","園城寺毘沙門堂","寺院建築","重要文化財","滋賀県","近畿","35.010826","135.854434","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1338","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"32","八幡神社本殿及び拝殿","神社建築","重要文化財","兵庫県","近畿","35.130959","135.079401","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2431","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"33","護国院鐘楼","寺院建築","重要文化財","和歌山県","近畿","34.184567","135.190058","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2809","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"34","松尾大社本殿","神社建築","重要文化財","京都府","近畿","34.999833","135.685227","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1931","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"35","養源院","寺院建築","重要文化財","京都府","近畿","34.988081","135.773303","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-00004849","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"36","奥石神社本殿","神社建築","重要文化財","滋賀県","近畿","35.130489","136.161698","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1474","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"37","地蔵峰寺本堂","寺院建築","重要文化財","和歌山県","近畿","34.136617","135.199180","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2842","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"38","水度神社本殿","神社建築","重要文化財","京都府","近畿","34.854828","135.789597","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1987","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"39","長命寺鐘楼","寺院建築","重要文化財","滋賀県","近畿","35.162900","136.063354","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1406","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"40","八幡神社本殿","神社建築","重要文化財","奈良県","近畿","34.603967","135.694544","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2680","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"41","教王護国寺北大門","寺院建築","重要文化財","京都府","近畿","34.982044","135.747681","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-1837","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"42","十三神社","神社建築","重要文化財","和歌山県","近畿","34.147285","135.351202","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2851","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"43","大国寺本堂","寺院建築","重要文化財","兵庫県","近畿","35.066079","135.147619","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2434","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"44","福王子神社","神社建築","重要文化財","京都府","近畿","35.028954","135.709102","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1898","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"45","観音堂","寺院建築","重要文化財","京都府","近畿","35.303806","135.424189","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2061","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"46","八幡神社拝殿","神社建築","重要文化財","兵庫県","近畿","34.864310","134.961565","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-2381","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"47","室生寺御影堂","寺院建築","重要文化財","奈良県","近畿","34.540346","136.038999","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","temple-102-2765","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
"48","鏡神社本殿","神社建築","重要文化財","滋賀県","近畿","35.086826","136.079050","文化庁・国指定文化財等DB","https://kunishitei.bunka.go.jp/bsys/index","shrine-102-1491","文化庁DBの緯度・経度欄","official-background","shrine/temple official pool; proportional regional target; 2km spacing; deterministic SHA-256 rank"
